SOCD,aspect,AWC,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,clay,dem,dtr,fwi,GPP,gppmax,landuse85,lstday,lstnight,ndvimax,ndvimean,ndvimin,ndvistd,ph,roughness,samt,sand,silt,slope,srad,tdchange,tpi,tri,twi,vapr,wind,WRB2
1.219560359,3.540115118,137,26.07083321,26.48333359,25.78333282,2166,327,16,63.28243637,935,92,320,166,10.65833282,71.53244019,33.47036743,33.5,18.60000038,14.89999962,25.83333397,25.93333244,23,131,12.17332268,0.564246595,8.656867027,7.296999931,3,15034,14778,0.835447431,0.573343217,0.832973719,0.293671876,5.099999905,17,312.3999939,59,18,0.295293063,14162,1111,-0.375,4.875,12.5223341,2.755833387,0.875,1
1.23471258,3.12118721,120,25.50833321,26.35000038,25.10000038,1756,284,4,76.11132813,805,25,235,798,12.21666718,69.41287231,58.57525635,34.40000153,16.79999924,17.60000229,25.11666679,25.29999924,24,242,14.58170414,12.89267826,6.298766613,1.21660006,4,15424,14754,0.660315812,0.378672153,0.479105264,0.243822277,5.300000191,19,306,56,20,0.351005346,15594.83301,1111,-4.5,5.75,12.00292397,2.516666651,1.416666627,1
1.246130331,5.126895905,137,26.88333321,27.63333321,26.01666641,1774,286,23,62.02344513,769,86,414,155,11.41666603,74.13420105,65.2385025,34.29999924,18.89999962,15.39999962,26.93333435,26.14999962,23,126,11.24254417,4.332863331,9.551449776,6.117199898,15,15207,14736,0.691578925,0.460849822,0.673000038,0.307758451,5.099999905,26,321.7999878,59,18,0.195614204,13817.75,3333,-8.5,8.5,15.07249641,2.744166613,1.383333325,1
1.262012778,6.093196869,160,25.78750038,27.19999886,23.60000038,1572,276,15,71.42354584,739,70,526,99,12.75833321,68.59318542,150.5312347,33.70000076,15.10000038,18.60000038,26.73333359,23.73333359,43,227,13.72198009,12.41341877,8.577933311,5.425000191,3,15240,14682,0.698921144,0.463798285,0.546342134,0.248520374,4.900000095,17,309.5,40,17,0.379241019,14788.25,1113,-7.375,7.375,13.71731091,2.451666594,2.075000048,3
1.270532442,2.607033491,137,25.66250038,26.28333282,24.93333244,1824,276,20,61.53833008,770,90,441,152,10.625,75.354599,54.02546692,32.40000153,18.29999924,14.10000229,25.71666718,25.01666641,23,217,11.24254417,5.263178825,9.396233559,8.034999847,3,15037,14742,0.840105355,0.512620628,0.822078943,0.337686032,5.099999905,211,310.5,59,18,4.601081848,13841.25,1111,-59,71.25,9.427537918,2.717499971,1.133333325,1
1.270706615,1.107148767,119,26.4375,26.79999924,26.06666565,2825,357,126,31.16551208,971,434,612,557,8.958333015,83.7227478,31.77512932,31.89999962,21.20000076,10.69999886,26.41666603,26.36666679,21,65,13.39517593,0.05652415,7.628283501,7.562200069,3,15036,14775,0.819947422,0.522458315,0.829947412,0.326607645,4.900000095,16,317.6000061,52,27,0.224204063,13851.5,1111,-1.25,4.5,12.10460186,2.9375,1.058333397,20
1.283656073,1.928613663,119,26.01666641,26.38333321,25.46666718,3345,339,227,13.40460873,934,705,815,836,8.850000381,85.92232513,38.92496109,31.20000076,20.89999962,10.30000114,26,25.78333282,21,91,13.0209465,0.08800602,7.325433254,7.789200306,3,15004,14764,0.839315832,0.504614055,0.827684224,0.338362008,4.900000095,35,312,52,27,0.879250884,13681.33301,1111,3.375,11.375,11.084589,2.887500048,1.125,20
1.301702111,1.428899288,119,26.02499962,26.58333206,25.31666756,1954,274,20,61.81991959,811,93,482,145,10.73333359,76.12294006,50.87862015,32.79999924,18.70000076,14.09999847,26.10000038,25.38333321,21,128,11.2436409,3.45993638,8.854399681,7.359600067,3,15074,14730,0.817368448,0.517938614,0.819131613,0.329644948,4.900000095,11,311.8999939,52,27,0.10128548,13831.75,1111,3.5,3.5,13.24579334,2.804166794,1.049999952,20
1.323430842,2.117258072,69,22.95000076,24.51666641,20.26666641,1575,288,14,74.19820404,767,52,588,91,12.9333334,64.99162292,187.568161,31.39999962,11.5,19.89999962,24.20000076,20.26666641,6,521,14.43450928,12.54088974,6.493766785,3.33280015,15,15255,14590,0.640631616,0.370534003,0.416578978,0.235694706,5.300000191,44,276.7999878,87,7,0.813073754,15663.33301,3333,-3.875,10.125,10.81627464,2.117500067,1.700000048,2
1.356965276,0.107689872,164,25.35000038,26.06666565,24.10000038,1644,200,59,37.64693832,598,220,480,220,10.53333282,70.22222137,85.89105225,32.20000076,17.20000076,15,25.76666641,24.10000038,23,187,10.81126118,1.793813825,10.13899994,6.994599819,3,15236,14724,0.748894751,0.426576763,0.558631599,0.287549078,4.900000095,30,304.2999878,49,28,0.533058643,13907.58301,1333,4.75,9.25,11.58507729,2.678333282,1.183333397,4
1.369678424,4.16801405,137,23.97500038,24.76666641,23.46666718,1866,323,64,61.62528992,893,213,235,893,8.416666031,79.40252686,54.37661362,29.79999924,19.20000076,10.59999847,23.46666718,24.60000038,23,853,14.20503426,0.422889262,8.569566727,9.181200027,3,14868,14674,0.851552665,0.564347625,0.838710546,0.314856082,5.099999905,306,283.5,59,18,6.799578667,16113,1111,83.125,111.625,9.03441143,2.38166666,1.25,1
1.379807797,5.054004669,119,25.24583244,26.45000076,23.08333397,1424,216,16,67.39555359,629,55,597,100,12.10833359,66.16575623,151.6643677,33.29999924,15,18.29999924,26.43333435,23.08333397,21,160,13.76733208,19.42908287,4.337633133,1.472599983,4,15319,14798,0.625131607,0.376429826,0.449552655,0.224553674,4.900000095,30,302.5,52,27,0.684076488,15083.83301,1131,-7.75,11.75,10.98904705,2.344166756,1.416666627,20
1.402631629,1.84026897,69,22.95000076,24.51666641,20.28333282,1572,285,14,73.58950043,762,54,586,93,12.88333321,65.06734467,185.9985352,31.39999962,11.60000038,19.79999924,24.18333435,20.29999924,6,569,14.43450928,12.54088974,6.280983448,2.909199953,15,15246,14595,0.652947426,0.383252203,0.451763183,0.247258693,5.300000191,67,274.6000061,87,7,1.55993855,15645.58301,3333,-3,21.75,10.51108837,2.120833397,1.700000048,2
1.403265316,1.149377108,168,25.34583282,25.88333321,24.53333282,1772,249,40,51.79756165,687,144,553,144,10.40833282,79.45291901,56.10292816,31.5,18.39999962,13.10000038,25.54999924,24.53333282,15,254,10.31958389,1.657610774,8.779767036,8.378000259,3,15026,14715,0.832894742,0.592220426,0.842868447,0.285915345,6.300000191,19,304.3999939,67,18,0.227609843,14077.83301,1111,-7,8.25,12.43609905,2.656666756,0.800000012,33
1.469673468,0.411064535,83,26.90416718,27.73333359,26.26666641,2132,303,78,38.9804039,818,308,349,459,7.608333588,77.63606262,60.91940308,32.5,22.70000076,9.799999237,26.71666718,27.73333359,6,4,14.15444756,1.286494851,9.513750076,9.507200241,12,15050,14725,0.750105321,0.549099803,0.773552656,0.236499429,5.699999809,13,322.7999878,84,10,0.304696769,18701.91602,2322,-3,4.5,12.14441109,2.801666737,2.416666746,9
1.470216985,4.619632721,120,26.11666679,26.81666565,25.56666565,1847,278,10,70.94638824,820,42,247,809,11.96666622,70.8086853,50.15124512,35.09999847,18.20000076,16.89999771,25.58333397,26.35000038,24,196,13.8509779,9.178215027,5.632816792,0.555599988,4,15271,14814,0.674868464,0.40314585,0.499526322,0.257384241,5.300000191,60,313.3999939,56,20,1.236985445,15422.41699,1111,13.625,22.125,10.74314976,2.609166622,1.491666675,1
1.478075947,4.712388992,83,24.94166756,26.54999924,22.16666603,1466,251,15,71.05583191,694,56,540,56,12.51666737,63.8605423,192.4463806,33.40000153,13.80000019,19.60000229,26.33333397,22.16666603,6,164,14.3243866,18.18767929,5.382216454,3.396199942,15,15289,14726,0.662789524,0.404293865,0.547447443,0.256592095,5.699999809,3,299.2000122,84,10,0.014323944,15451.33301,3222,-2,2,15.20180511,2.359999895,1.508333325,9
1.482021433,5.526350975,120,25.34166718,26.31666565,24.20000076,1608,283,3,84.05960846,800,14,398,40,12.28333282,67.86371613,88.4161911,33.70000076,15.60000038,18.10000038,25.38333321,24.25,24,276,15.06899452,17.45636177,4.919333458,0.889400005,11,15371,14764,0.632315814,0.417542785,0.436026335,0.172927693,5.300000191,17,303.8999939,56,20,0.354639679,16411.5,2222,0.75,4.75,11.99262238,2.411666632,1.350000024,1
1.497302652,2.394637108,131,25.56666756,26.26666641,24.43333435,1736,238,38,49.9318428,694,152,436,184,10.46666622,70.72071075,78.54743195,32.40000153,17.60000038,14.80000114,25.88333321,24.5,31,191,10.81126118,1.793813825,0,8.253000259,15,15248,14707,0.767789543,0.434971511,0.609473705,0.301529348,5.099999905,24,306.7999878,45,24,0.26353538,13879,3333,2.25,7.25,12.98268986,2.690000057,1.216666698,6
1.519325075,0.785398185,156,25.40833282,27.06666565,22.70000076,3839,603,119,53.70266724,1631,392,1446,416,11.35000038,65.60694122,193.141861,32.79999924,15.5,17.29999924,27.06666565,23.73333359,29,239,13.39517593,21.87498093,9.068266869,8.157999992,3,15030,14607,0.843052626,0.538674355,0.813684225,0.322092265,5,7,304.8999939,42,29,0.081028417,15024.33301,1313,1.125,2.125,15.54837894,2.271666765,2.516666651,6
